subject	roi	quadrant	condition	n_trials	n_voxels	mean_beta
1	V1	upper_right	target	180	27	0.6960572004318237
1	V1	upper_right	distractor	216	27	0.704084038734436
1	V1	upper_right	neutral	324	27	0.7217830419540405
1	V1	upper_left	target	180	55	0.8665568232536316
1	V1	upper_left	distractor	72	55	0.7660930156707764
1	V1	upper_left	neutral	468	55	0.7994039058685303
1	V1	lower_left	target	180	46	0.544975221157074
1	V1	lower_left	distractor	120	46	0.5019171237945557
1	V1	lower_left	neutral	420	46	0.5104568004608154
1	V1	lower_right	target	180	37	0.9541897177696228
1	V1	lower_right	distractor	168	37	0.5342677235603333
1	V1	lower_right	neutral	372	37	0.6643669605255127
1	V2	upper_right	target	180	29	0.7715649008750916
1	V2	upper_right	distractor	216	29	0.6582102179527283
1	V2	upper_right	neutral	324	29	0.6780611872673035
1	V2	upper_left	target	180	27	0.27836447954177856
1	V2	upper_left	distractor	72	27	0.2983663082122803
1	V2	upper_left	neutral	468	27	0.26999545097351074
1	V2	lower_left	target	180	35	1.266029715538025
1	V2	lower_left	distractor	120	35	1.1626513004302979
1	V2	lower_left	neutral	420	35	1.052250623703003
1	V2	lower_right	target	180	46	0.6070014238357544
1	V2	lower_right	distractor	168	46	0.3447019159793854
1	V2	lower_right	neutral	372	46	0.39611443877220154
1	V3	upper_right	target	180	52	0.7162337303161621
1	V3	upper_right	distractor	216	52	0.6618208289146423
1	V3	upper_right	neutral	324	52	0.6161017417907715
1	V3	upper_left	target	180	25	0.4011005461215973
1	V3	upper_left	distractor	72	25	0.46531596779823303
1	V3	upper_left	neutral	468	25	0.4115016460418701
1	V3	lower_left	target	180	12	1.255075454711914
1	V3	lower_left	distractor	120	12	1.2017745971679688
1	V3	lower_left	neutral	420	12	1.0047234296798706
1	V3	lower_right	target	180	39	0.7015321254730225
1	V3	lower_right	distractor	168	39	0.3211924731731415
1	V3	lower_right	neutral	372	39	0.40287673473358154
1	V3AB	upper_right	target	180	20	1.9232933521270752
1	V3AB	upper_right	distractor	216	20	1.6930418014526367
1	V3AB	upper_right	neutral	324	20	1.5121431350708008
1	V3AB	upper_left	target	180	23	0.46530815958976746
1	V3AB	upper_left	distractor	72	23	0.5275876522064209
1	V3AB	upper_left	neutral	468	23	0.3474671542644501
1	V3AB	lower_left	target	180	30	0.5988498330116272
1	V3AB	lower_left	distractor	120	30	0.540113091468811
1	V3AB	lower_left	neutral	420	30	0.3833264410495758
1	V3AB	lower_right	target	180	31	0.4732339680194855
1	V3AB	lower_right	distractor	168	31	0.28693079948425293
1	V3AB	lower_right	neutral	372	31	0.35739779472351074
1	hV4	upper_right	target	180	13	0.5185137987136841
1	hV4	upper_right	distractor	216	13	0.49289071559906006
1	hV4	upper_right	neutral	324	13	0.4083717167377472
1	hV4	upper_left	target	180	9	1.5481231212615967
1	hV4	upper_left	distractor	72	9	1.8473076820373535
1	hV4	upper_left	neutral	468	9	1.8424816131591797
1	hV4	lower_left	target	180	6	0.5861049890518188
1	hV4	lower_left	distractor	120	6	0.4768190383911133
1	hV4	lower_left	neutral	420	6	0.4002637565135956
1	hV4	lower_right	target	180	12	0.2721293866634369
1	hV4	lower_right	distractor	168	12	0.17427676916122437
1	hV4	lower_right	neutral	372	12	0.27028119564056396
1	LO1	upper_right	target	180	8	0.1200762540102005
1	LO1	upper_right	distractor	216	8	0.14849795401096344
1	LO1	upper_right	neutral	324	8	0.12907449901103973
1	LO1	upper_left	target	180	5	0.03684878721833229
1	LO1	upper_left	distractor	72	5	0.023903727531433105
1	LO1	upper_left	neutral	468	5	0.03861207887530327
1	LO1	lower_left	target	180	6	0.4032566547393799
1	LO1	lower_left	distractor	120	6	0.4479377865791321
1	LO1	lower_left	neutral	420	6	0.30873194336891174
1	LO2	upper_right	target	180	17	0.2731386125087738
1	LO2	upper_right	distractor	216	17	0.3398202955722809
1	LO2	upper_right	neutral	324	17	0.318150132894516
1	LO2	upper_left	target	180	8	0.22487077116966248
1	LO2	upper_left	distractor	72	8	0.29453200101852417
1	LO2	upper_left	neutral	468	8	0.2508696913719177
1	LO2	lower_left	target	180	14	0.4294176697731018
1	LO2	lower_left	distractor	120	14	0.3438860774040222
1	LO2	lower_left	neutral	420	14	0.36994680762290955
1	LO2	lower_right	target	180	8	0.16658669710159302
1	LO2	lower_right	distractor	168	8	-0.0258401520550251
1	LO2	lower_right	neutral	372	8	0.10349667817354202
1	TO1	upper_right	target	180	6	-0.2803114652633667
1	TO1	upper_right	distractor	216	6	-0.2896403968334198
1	TO1	upper_right	neutral	324	6	-0.3188132345676422
1	TO1	upper_left	target	180	6	0.04525778070092201
1	TO1	upper_left	distractor	72	6	-0.002337257144972682
1	TO1	upper_left	neutral	468	6	0.10276875644922256
1	TO1	lower_left	target	180	10	0.08037569373846054
1	TO1	lower_left	distractor	120	10	-0.026383982971310616
1	TO1	lower_left	neutral	420	10	-0.09113837033510208
1	TO1	lower_right	target	180	14	-0.25226891040802
1	TO1	lower_right	distractor	168	14	-0.21369856595993042
1	TO1	lower_right	neutral	372	14	-0.09687096625566483
1	TO2	upper_right	target	180	5	-0.083586186170578
1	TO2	upper_right	distractor	216	5	-0.06600917130708694
1	TO2	upper_right	neutral	324	5	-0.09825478494167328
1	TO2	upper_left	target	180	12	0.0014518300304189324
1	TO2	upper_left	distractor	72	12	-0.000258028507232666
1	TO2	upper_left	neutral	468	12	-0.007716787047684193
1	TO2	lower_right	target	180	7	0.4832892417907715
1	TO2	lower_right	distractor	168	7	0.36288172006607056
1	TO2	lower_right	neutral	372	7	0.40093252062797546
2	V1	upper_right	target	180	31	0.0029750890098512173
2	V1	upper_right	distractor	216	31	-0.02246386930346489
2	V1	upper_right	neutral	324	31	-0.00911999586969614
2	V1	upper_left	target	180	15	0.026925502344965935
2	V1	upper_left	distractor	168	15	-0.0002824735129252076
2	V1	upper_left	neutral	372	15	-0.00775190582498908
2	V1	lower_left	target	180	23	0.14974258840084076
2	V1	lower_left	distractor	120	23	0.19740155339241028
2	V1	lower_left	neutral	420	23	0.12985463440418243
2	V1	lower_right	target	180	28	0.007000980898737907
2	V1	lower_right	distractor	72	28	-0.03331393375992775
2	V1	lower_right	neutral	468	28	0.010655327700078487
2	V2	upper_right	target	180	11	0.09883797913789749
2	V2	upper_right	distractor	216	11	0.05983581393957138
2	V2	upper_right	neutral	324	11	0.1152537539601326
2	V2	upper_left	target	180	23	-0.03281043469905853
2	V2	upper_left	distractor	168	23	-0.11133702844381332
2	V2	upper_left	neutral	372	23	-0.10591043531894684
2	V2	lower_left	target	180	26	-0.030388323590159416
2	V2	lower_left	distractor	120	26	-0.018267663195729256
2	V2	lower_left	neutral	420	26	-0.06021707132458687
2	V2	lower_right	target	180	26	0.03599302098155022
2	V2	lower_right	distractor	72	26	-0.004183565732091665
2	V2	lower_right	neutral	468	26	-0.032102376222610474
2	V3	upper_right	target	180	47	-0.2529258131980896
2	V3	upper_right	distractor	216	47	-0.2842130959033966
2	V3	upper_right	neutral	324	47	-0.31364312767982483
2	V3	upper_left	target	180	20	-0.10793549567461014
2	V3	upper_left	distractor	168	20	-0.12889260053634644
2	V3	upper_left	neutral	372	20	-0.18012559413909912
2	V3	lower_left	target	180	14	0.9135792851448059
2	V3	lower_left	distractor	120	14	0.8194378018379211
2	V3	lower_left	neutral	420	14	0.713300883769989
2	V3	lower_right	target	180	53	-0.10026311874389648
2	V3	lower_right	distractor	72	53	-0.1432296186685562
2	V3	lower_right	neutral	468	53	-0.1567603498697281
2	V3AB	upper_right	target	180	32	-0.2800954580307007
2	V3AB	upper_right	distractor	216	32	-0.33873847126960754
2	V3AB	upper_right	neutral	324	32	-0.3564320206642151
2	V3AB	upper_left	target	180	30	0.046931855380535126
2	V3AB	upper_left	distractor	168	30	0.018942615017294884
2	V3AB	upper_left	neutral	372	30	-0.00879313237965107
2	V3AB	lower_left	target	180	29	-0.2154388427734375
2	V3AB	lower_left	distractor	120	29	-0.20655302703380585
2	V3AB	lower_left	neutral	420	29	-0.2143074870109558
2	V3AB	lower_right	target	180	27	-0.2733970582485199
2	V3AB	lower_right	distractor	72	27	-0.2385731339454651
2	V3AB	lower_right	neutral	468	27	-0.24023626744747162
2	hV4	upper_right	target	180	10	0.03590096905827522
2	hV4	upper_right	distractor	216	10	-0.01354191079735756
2	hV4	upper_right	neutral	324	10	-0.01343601569533348
2	hV4	upper_left	target	180	17	0.04817212373018265
2	hV4	upper_left	distractor	168	17	0.015199011191725731
2	hV4	upper_left	neutral	372	17	-0.06305922567844391
2	hV4	lower_left	target	180	5	-0.022314054891467094
2	hV4	lower_left	distractor	120	5	0.027333153411746025
2	hV4	lower_left	neutral	420	5	-0.04082002490758896
2	hV4	lower_right	target	180	6	0.7703955173492432
2	hV4	lower_right	distractor	72	6	0.8919743299484253
2	hV4	lower_right	neutral	468	6	0.6858090162277222
2	LO1	upper_left	target	180	7	0.1737365871667862
2	LO1	upper_left	distractor	168	7	0.09915791451931
2	LO1	upper_left	neutral	372	7	0.044060856103897095
2	LO1	lower_left	target	180	6	0.27628904581069946
2	LO1	lower_left	distractor	120	6	0.31520023941993713
2	LO1	lower_left	neutral	420	6	0.1808999627828598
2	LO2	upper_left	target	180	8	-0.16825677454471588
2	LO2	upper_left	distractor	168	8	-0.16301292181015015
2	LO2	upper_left	neutral	372	8	-0.17604684829711914
2	LO2	lower_left	target	180	8	-0.10587607324123383
2	LO2	lower_left	distractor	120	8	-0.09790897369384766
2	LO2	lower_left	neutral	420	8	-0.1000804528594017
2	TO1	upper_right	target	180	5	0.19913482666015625
2	TO1	upper_right	distractor	216	5	0.09044527262449265
2	TO1	upper_right	neutral	324	5	0.1261773258447647
2	TO1	upper_left	target	180	5	0.11420220136642456
2	TO1	upper_left	distractor	168	5	-0.004413264337927103
2	TO1	upper_left	neutral	372	5	0.1587933450937271
2	TO1	lower_left	target	180	6	-0.10791192948818207
2	TO1	lower_left	distractor	120	6	-0.09799857437610626
2	TO1	lower_left	neutral	420	6	0.019685586914420128
2	TO2	upper_right	target	180	5	0.2879365086555481
2	TO2	upper_right	distractor	216	5	0.26744893193244934
2	TO2	upper_right	neutral	324	5	0.266754686832428
2	TO2	upper_left	target	180	5	-0.1657291203737259
2	TO2	upper_left	distractor	168	5	-0.19045817852020264
2	TO2	upper_left	neutral	372	5	-0.1727682501077652
2	TO2	lower_right	target	180	5	-0.02979283407330513
2	TO2	lower_right	distractor	72	5	-0.01552132423967123
2	TO2	lower_right	neutral	468	5	-0.006587229203432798
3	V1	upper_right	target	180	24	-0.02054639346897602
3	V1	upper_right	distractor	144	24	-0.030363930389285088
3	V1	upper_right	neutral	396	24	0.06581799685955048
3	V1	upper_left	target	180	30	0.04716998711228371
3	V1	upper_left	distractor	144	30	0.061713654547929764
3	V1	upper_left	neutral	396	30	0.11630246788263321
3	V1	lower_left	target	180	23	0.17882458865642548
3	V1	lower_left	distractor	144	23	0.13785621523857117
3	V1	lower_left	neutral	396	23	0.1185353472828865
3	V1	lower_right	target	180	38	0.12055668234825134
3	V1	lower_right	distractor	144	38	-0.028613371774554253
3	V1	lower_right	neutral	396	38	-0.04299125447869301
3	V2	upper_right	target	180	18	0.43772757053375244
3	V2	upper_right	distractor	144	18	0.37882477045059204
3	V2	upper_right	neutral	396	18	0.39613237977027893
3	V2	upper_left	target	180	28	0.3636761009693146
3	V2	upper_left	distractor	144	28	0.2708379626274109
3	V2	upper_left	neutral	396	28	0.31183916330337524
3	V2	lower_left	target	180	18	0.5975373387336731
3	V2	lower_left	distractor	144	18	0.4901147484779358
3	V2	lower_left	neutral	396	18	0.4606461226940155
3	V2	lower_right	target	180	25	0.1476561427116394
3	V2	lower_right	distractor	144	25	-0.08127661049365997
3	V2	lower_right	neutral	396	25	-0.17560088634490967
3	V3	upper_right	target	180	18	1.0004544258117676
3	V3	upper_right	distractor	144	18	0.8864960074424744
3	V3	upper_right	neutral	396	18	0.79230135679245
3	V3	upper_left	target	180	12	0.5126864314079285
3	V3	upper_left	distractor	144	12	0.487126886844635
3	V3	upper_left	neutral	396	12	0.5887003540992737
3	V3	lower_left	target	180	15	0.49913889169692993
3	V3	lower_left	distractor	144	15	0.39244306087493896
3	V3	lower_left	neutral	396	15	0.3729328513145447
3	V3	lower_right	target	180	11	0.5454264283180237
3	V3	lower_right	distractor	144	11	0.3069216310977936
3	V3	lower_right	neutral	396	11	0.29633545875549316
3	V3AB	upper_right	target	180	10	-0.024227624759078026
3	V3AB	upper_right	distractor	144	10	0.017821958288550377
3	V3AB	upper_right	neutral	396	10	-0.0717107430100441
3	V3AB	upper_left	target	180	19	0.6531524062156677
3	V3AB	upper_left	distractor	144	19	0.5766303539276123
3	V3AB	upper_left	neutral	396	19	0.6213793754577637
3	V3AB	lower_left	target	180	23	0.37292277812957764
3	V3AB	lower_left	distractor	144	23	0.4824272394180298
3	V3AB	lower_left	neutral	396	23	0.3605510890483856
3	V3AB	lower_right	target	180	21	0.5172466039657593
